province,cons_no,cons_code,ballot_no,candidate_name,party,resign
กรุงเทพมหานคร,7,กรุงเทพมหานคร.07,4,นายชื่นชอบ คงอุดม,รวมไทยสร้างชาติ,
กรุงเทพมหานคร,7,กรุงเทพมหานคร.07,5,นางสาวชลิดา สุวรรณโชติ,ไทยสร้างไทย,
กรุงเทพมหานคร,7,กรุงเทพมหานคร.07,6,นางลลิตา ฤกษ์สำราญ,ภูมิใจไทย,
กรุงเทพมหานคร,7,กรุงเทพมหานคร.07,7,นายศุภฤทธิ์ มั่นนทีรัย,กล้าธรรม,
กรุงเทพมหานคร,7,กรุงเทพมหานคร.07,8,นางสาวภัสริน รามวงศ์,ประชาชน,
กรุงเทพมหานคร,7,กรุงเทพมหานคร.07,9,ร้อยตำรวจเอก วัฒนรักษ์ อำนรรฆสรเดช,พลังประชารัฐ,
กรุงเทพมหานคร,7,กรุงเทพมหานคร.07,10,นายเรวัตร คงชาติ,ไทยก้าวใหม่,
กรุงเทพมหานคร,7,กรุงเทพมหานคร.07,11,ร้อยตำรวจตรี เสน่ห์ ชัยทร,ฟิวชัน,
กรุงเทพมหานคร,7,กรุงเทพมหานคร.07,12,นายณพวุฒิ จุลไสย,โอกาสใหม่,
กรุงเทพมหานคร,7,กรุงเทพมหานคร.07,13,พลโท มนัส แถบทอง,เศรษฐกิจ,
กรุงเทพมหานคร,8,กรุงเทพมหานคร.08,1,นายชยพล สท้อนดี,ประชาชน,
กรุงเทพมหานคร,8,กรุงเทพมหานคร.08,2,นางสาววีริสรา ช่วงยรรยง,ปวงชนไทย,
กรุงเทพมหานคร,8,กรุงเทพมหานคร.08,3,นายพงศ์ฐิติ พงศ์ศิลามณี,ไทยภักดี,
กรุงเทพมหานคร,8,กรุงเทพมหานคร.08,4,นางสาวพิมพ์ณดา ธีระประจักษ์ชาติ,กล้าธรรม,
กรุงเทพมหานคร,8,กรุงเทพมหานคร.08,5,นายสุรชาติ เทียนทอง,เพื่อไทย,
กรุงเทพมหานคร,8,กรุงเทพมหานคร.08,6,นายอนุชาญ กวางทอง,พลังประชารัฐ,
กรุงเทพมหานคร,8,กรุงเทพมหานคร.08,7,นายอนันตชาติ บัวสุวรรณ์,โอกาสใหม่,
กรุงเทพมหานคร,8,กรุงเทพมหานคร.08,8,นายชญาพัฒน์ โปร่งปรีชา,ไทยก้าวใหม่,
กรุงเทพมหานคร,8,กรุงเทพมหานคร.08,9,นายจักร์กวินทร์ ภู่สวาสดิ์,ไทยสร้างไทย,
กรุงเทพมหานคร,8,กรุงเทพมหานคร.08,10,นางสาวสุวีรา เติมรุ่งเรืองเลิศ,รักชาติ,
กรุงเทพมหานคร,8,กรุงเทพมหานคร.08,11,นายวิษณุ วราโชติเศรษฐ์,เศรษฐกิจ,
กรุงเทพมหานคร,8,กรุงเทพมหานคร.08,12,นายไชยยศ ศรีสกุล,พลวัต,
กรุงเทพมหานคร,8,กรุงเทพมหานคร.08,13,นายฤกษ์อารี นานา,ภูมิใจไทย,
กรุงเทพมหานคร,8,กรุงเทพมหานคร.08,14,นายระพีพัฒน์ สุเมธโชติเมธา,ประชาธิปัตย์,
กรุงเทพมหานคร,8,กรุงเทพมหานคร.08,15,นางสาวอรัญญา มณีแจ่ม,รวมไทยสร้างชาติ,
กรุงเทพมหานคร,8,กรุงเทพมหานคร.08,16,นายวสันต์ ทองคำ,วิชชั่นใหม่,
กรุงเทพมหานคร,9,กรุงเทพมหานคร.09,1,นางสาววิเวียน จุลมนต์,ประชาธิปัตย์,
กรุงเทพมหานคร,9,กรุงเทพมหานคร.09,2,นางสาววรินทร์ลดา วงศ์ศรีรัฐ,ไทยสร้างไทย,
กรุงเทพมหานคร,9,กรุงเทพมหานคร.09,3,นายธราธพ ชาตรี,ไทยก้าวใหม่,
กรุงเทพมหานคร,9,กรุงเทพมหานคร.09,4,นายชัยวัฒน์ โพธิจันทร์,พลวัต,
กรุงเทพมหานคร,9,กรุงเทพมหานคร.09,5,นายศุภณัฐ มีนชัยนันท์,ประชาชน,
กรุงเทพมหานคร,9,กรุงเทพมหานคร.09,6,นางสาวณัฐวรินธร บวรภัควุฒิสิริ,ภูมิใจไทย,
กรุงเทพมหานคร,9,กรุงเทพมหานคร.09,7,นางสาวพัชรวณัน เบ็ญจวิทย์วิไล,รักชาติ,
กรุงเทพมหานคร,9,กรุงเทพมหานคร.09,8,นายสายัณต์ จันทร์เหมือนเผือก,เพื่อไทย,
กรุงเทพมหานคร,9,กรุงเทพมหานคร.09,9,นายวัทธิกร หรุ่นศิริ,รวมไทยสร้างชาติ,
กรุงเทพมหานคร,9,กรุงเทพมหานคร.09,10,นายรัตนมงคล เลิศทวีวิทย์,กล้าธรรม,
กรุงเทพมหานคร,9,กรุงเทพมหานคร.09,11,พันโท พีรพงศ์ บัวเทศ,รวมพลังประชาชน,
กรุงเทพมหานคร,9,กรุงเทพมหานคร.09,12,นายนพพล ปุรณะชัยคีรี,เพื่อบ้านเมือง,
กรุงเทพมหานคร,9,กรุงเทพมหานคร.09,13,นายสุชาติ ตามประกอบ,ประชาธิปไตยใหม่,
กรุงเทพมหานคร,9,กรุงเทพมหานคร.09,14,นายปัฐน์ชนนท์ คูณธนานุวัฒน์,โอกาสใหม่,
กรุงเทพมหานคร,10,กรุงเทพมหานคร.10,1,นายภูพิพัฒน์ สาวพัฒนะธาดา,รวมไทยสร้างชาติ,
กรุงเทพมหานคร,10,กรุงเทพมหานคร.10,2,นายชัยพร แก้ววาตะ,ประชาธิปัตย์,
กรุงเทพมหานคร,10,กรุงเทพมหานคร.10,3,พลตำรวจตรี ทินกร ณัฏฐมั่งคั่ง,ประชากรไทย,
กรุงเทพมหานคร,10,กรุงเทพมหานคร.10,4,นายอนุวัตร เผือกเกษม,ประชาธิปไตยใหม่,
กรุงเทพมหานคร,10,กรุงเทพมหานคร.10,5,นายภูมิพัฒน์ โหสกุล,เพื่อไทย,
กรุงเทพมหานคร,10,กรุงเทพมหานคร.10,6,นายเอกราช อุดมอำนวย,ประชาชน,
กรุงเทพมหานคร,10,กรุงเทพมหานคร.10,7,นายวรัชณ์กิตต์ วิศาลมนัส,รักชาติ,
กรุงเทพมหานคร,10,กรุงเทพมหานคร.10,8,นายชณธัศน์ เหลืองวัฒนะวุฒิ,เศรษฐกิจ,
กรุงเทพมหานคร,10,กรุงเทพมหานคร.10,9,นางกนกนุช กลิ่นสังข์,โอกาสใหม่,
กรุงเทพมหานคร,10,กรุงเทพมหานคร.10,10,ว่าที่ร้อยตรีหญิง ภัทราวดี นาคงาม,พลวัต,
กรุงเทพมหานคร,10,กรุงเทพมหานคร.10,11,นายดิษยะฤทธิ์ รู้ดี,กล้าธรรม,
กรุงเทพมหานคร,10,กรุงเทพมหานคร.10,12,นายรนภัทร นิธิโชติการ,ไทยก้าวใหม่,
กรุงเทพมหานคร,10,กรุงเทพมหานคร.10,13,นายรณกร เชียรวิชัย,ภูมิใจไทย,
กรุงเทพมหานคร,10,กรุงเทพมหานคร.10,14,นายไกรศักดิ์ เสาเวียง,ไทยสร้างไทย,
กรุงเทพมหานคร,10,กรุงเทพมหานคร.10,15,พลอากาศตรี ธงชัย เพ็งเดือน,ความหวังใหม่,
กรุงเทพมหานคร,10,กรุงเทพมหานคร.10,16,นายสาธิต นีระวงศ์,วิชชั่นใหม่,
กรุงเทพมหานคร,11,กรุงเทพมหานคร.11,1,นายธีรวุฒิ แก้วพยศ,พลังประชารัฐ,
กรุงเทพมหานคร,11,กรุงเทพมหานคร.11,2,นายณรงค์ศักดิ์ ฤทธิวรผล,ไทยก้าวใหม่,
กรุงเทพมหานคร,11,กรุงเทพมหานคร.11,3,นายวรัญชัย โชคชนะ,ประชาธิปไตยใหม่,
กรุงเทพมหานคร,11,กรุงเทพมหานคร.11,4,นายกร สิงห์ธีร์,รวมไทยสร้างชาติ,
กรุงเทพมหานคร,11,กรุงเทพมหานคร.11,5,นางวันเพ็ญ รัตน์นิธิพงศ์,ไทยสร้างไทย,
