province,prov_id,cons_id,cons_no,zones,registered_voters,ref_turnout,ref_turnout_pct,ref_valid,ref_valid_pct,ref_invalid,ref_invalid_pct,yes_votes,yes_pct,no_votes,no_pct,abstained,abstained_pct,counted_stations,count_pct
สมุทรปราการ,SPK,SPK_4,4,อำเภอบางพลี (เฉพาะบางพลีใหญ่ บางแก้ว),136475,83101,60.89,82153,98.86,948,1.14,57361,69.82,20144,24.52,4648,5.66,168,94.92
สมุทรปราการ,SPK,SPK_5,5,"อำเภอเมืองสมุทรปราการ (เฉพาะแพรกษาใหม่), อำเภอบางพลี (ยกเว้นบางพลีใหญ่ บางแก้ว), อำเภอบางเสาธง (เฉพาะศีรษะจรเข้น้อย)",158700,102292,64.46,101039,98.78,1253,1.22,71690,70.95,22629,22.4,6720,6.65,216,94.74
สมุทรปราการ,SPK,SPK_6,6,อำเภอพระประแดง (ยกเว้นบางจาก),129989,89841,69.11,87986,97.94,1855,2.06,57015,64.8,24095,27.39,6876,7.81,246,94.98
สมุทรปราการ,SPK,SPK_7,7,"อำเภอพระสมุทรเจดีย์, อำเภอพระประแดง (เฉพาะบางจาก)",149428,98629,66.0,96696,98.04,1933,1.96,66648,68.93,22198,22.96,7850,8.12,215,94.71
สมุทรปราการ,SPK,SPK_8,8,"อำเภอบางบ่อ, อำเภอบางเสาธง (ยกเว้นศีรษะจรเข้น้อย)",150829,112319,74.47,109966,97.91,2353,2.09,75527,68.68,25741,23.41,8698,7.91,237,94.8
นนทบุรี,NBI,NBI_1,1,อำเภอเมืองนนทบุรี (เฉพาะบางเขน บางกระสอ ท่าทราย),140032,93068,66.46,91967,98.82,1101,1.18,58389,63.49,28624,31.12,4954,5.39,165,94.83
นนทบุรี,NBI,NBI_2,2,อำเภอเมืองนนทบุรี (ยกเว้นบางไผ่ ไทรม้า บางเขน บางกระสอ ท่าทราย),124608,85218,68.39,84062,98.64,1156,1.36,54494,64.83,24831,29.54,4737,5.64,164,94.8
นนทบุรี,NBI,NBI_3,3,"อำเภอเมืองนนทบุรี (เฉพาะบางไผ่), อำเภอบางกรวย",140981,81719,57.96,80696,98.75,1023,1.25,53672,66.51,22368,27.72,4656,5.77,156,76.85
นนทบุรี,NBI,NBI_4,4,อำเภอปากเกร็ด (เฉพาะบางตลาด บ้านใหม่ บางพูด คลองเกลือ),127356,83529,65.59,82637,98.93,892,1.07,55586,67.27,22603,27.35,4448,5.38,166,94.86
นนทบุรี,NBI,NBI_5,5,"อำเภอบางบัวทอง (เฉพาะละหาร ลำโพ), อำเภอปากเกร็ด (ยกเว้นบางตลาด บ้านใหม่ บางพูด คลองเกลือ), อำเภอเมืองนนทบุรี (เฉพาะไทรม้า)",137859,98726,71.61,97244,98.5,1482,1.5,62236,64.0,28798,29.61,6210,6.39,186,94.9
นนทบุรี,NBI,NBI_6,6,อำเภอบางใหญ่,144086,100935,70.05,99432,98.51,1503,1.49,65902,66.28,26956,27.11,6574,6.61,200,94.79
นนทบุรี,NBI,NBI_7,7,"อำเภอบางบัวทอง (เฉพาะบางบัวทอง พิมลราช โสนลอย), อำเภอไทรน้อย (เฉพาะไทรน้อย คลองขวาง)",142478,93980,65.96,92565,98.49,1415,1.51,59903,64.71,25876,27.95,6786,7.33,197,94.71
นนทบุรี,NBI,NBI_8,8,"อำเภอบางบัวทอง (เฉพาะบางรักใหญ่ บางรักพัฒนา บางคูรัด), อำเภอไทรน้อย (ยกเว้นไทรน้อย คลองขวาง)",136983,94910,69.29,93395,98.4,1515,1.6,60260,64.52,26227,28.08,6908,7.4,192,94.58
ปทุมธานี,PTE,PTE_1,1,"อำเภอเมืองปทุมธานี (เฉพาะบ้านฉาง บางขะแยง บางหลวง บางเดื่อ บางคูวัด), อำเภอลาดหลุมแก้ว",130700,95156,72.8,93382,98.14,1774,1.86,60455,64.74,25111,26.89,7816,8.37,190,95
ปทุมธานี,PTE,PTE_2,2,"อำเภอเมืองปทุมธานี (ยกเว้นบ้านใหม่ บ้านฉาง บางขะแยง บางหลวง บางเดื่อ หลักหก บางคูวัด), อำเภอสามโคก",128901,101031,78.38,99083,98.07,1948,1.93,66475,67.09,25133,25.37,7475,7.54,183,94.82
ปทุมธานี,PTE,PTE_3,3,อำเภอคลองหลวง (เฉพาะคลองสาม คลองหนึ่ง คลองสอง),131743,97328,73.88,96053,98.69,1275,1.31,70346,73.24,19737,20.55,5970,6.22,169,94.94
ปทุมธานี,PTE,PTE_4,4,"อำเภอคลองหลวง (เฉพาะคลองหนึ่ง คลองสอง), อำเภอธัญบุรี (เฉพาะประชาธิปัตย์)",132037,90475,68.52,88975,98.34,1500,1.66,60388,67.87,22771,25.59,5816,6.54,167,94.89
ปทุมธานี,PTE,PTE_5,5,"อำเภอเมืองปทุมธานี (เฉพาะบ้านใหม่ หลักหก), อำเภอลำลูกกา (เฉพาะคูคต)",122740,85135,69.36,83939,98.6,1196,1.4,56518,67.33,22345,26.62,5076,6.05,199,94.76
