province,cons_no,cons_code,no_1,name_1,party_1,no_2,name_2,party_2,no_3,name_3,party_3,no_4,name_4,party_4,no_5,name_5,party_5,no_6,name_6,party_6,no_7,name_7,party_7,no_8,name_8,party_8,no_9,name_9,party_9,no_10,name_10,party_10,no_11,name_11,party_11,no_12,name_12,party_12,no_13,name_13,party_13,no_14,name_14,party_14,no_15,name_15,party_15,no_16,name_16,party_16,no_17,name_17,party_17,no_18,name_18,party_18,no_19,name_19,party_19
อุดรธานี,7,อุดรธานี.07,1,นายชูศักดิ์ กุลธวัชวงศ์,ประชาธิปัตย์,2,นายนรเศรษฐ แก้วมาตร,กล้าธรรม,3,นายจักรพรรดิ ไชยสาส์น,ไทยสร้างไทย,4,นายทรงกิตติ สุวรรณทอง,รวมไทยสร้างชาติ,5,นายณัฐภณ ทาปุ๋ย,ไทยก้าวใหม่,6,นายธีระชัย แสนแก้ว,เพื่อไทย,7,นายสุริยา วงศ์อารีย์,ประชาชน,8,นายคำมอน แสงดี,ภูมิใจไทย,9,นางสาวอรัญญา ใจมั่น,พลังประชารัฐ,10,นายกฤษฎา ศรีสุชาติ,เศรษฐกิจ,,,,,,,,,,,,,,,,,,,,,,,,,,,
อุดรธานี,8,อุดรธานี.08,1,นางศิริพร แสงจันทร์,ประชาธิปไตยใหม่,2,นายภพ สมศรีโหน่ง,พลังประชารัฐ,3,นายอนุเทน สีดาอุบล,ประชาชน,4,นางชีวรัตน์ อุปนันท์,ไทยก้าวใหม่,5,นายนวคม เสมา,เศรษฐกิจ,6,นายสุภีรภัทร ภูมิภักดิ์,ภูมิใจไทย,7,นายอร่าม ศรีด้วง,ประชาธิปัตย์,8,นายเกรียงศักดิ์ ฝ้ายสีงาม,เพื่อไทย,9,นายภูชิต อุ่นเที่ยว,กล้าธรรม,10,นายนพดล สุวรรณชมภู,รวมไทยสร้างชาติ,,,,,,,,,,,,,,,,,,,,,,,,,,,
อุดรธานี,9,อุดรธานี.09,1,นายเกษม เบ้าวรรณ,ภูมิใจไทย,2,นายฐานวัฒน์ ธนาธัญญพิชญ์,กล้าธรรม,3,นายพงศกร กงพาน,ประชาธิปัตย์,4,นายสมร ศรีวิพันธ์,รวมไทยสร้างชาติ,5,นายนภาดล ดวงสอนแสง,ประชาชน,6,นายวัชระพล ขาวขำ,เพื่อไทย,7,นายนิธิศ ประกอบใส,พลังประชารัฐ,8,นายนิธิศ รอดชมภู,ไทยก้าวใหม่,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
อุดรธานี,10,อุดรธานี.10,1,นายกิตติพัทธ์ ปราบพาล,เศรษฐกิจ,2,นางสาวสุภาวดี วงษ์คำ,ประชาชน,3,นายทัชภูมิ ทองทิพย์,ภูมิใจไทย,4,นายอภิวัฒน์ โรมเมือง,รวมไทยสร้างชาติ,5,นางเทียบจุฑา ขาวขำ,เพื่อไทย,6,นายชาติชาย จันทร์สวย,ประชาธิปัตย์,7,นายจักรภัทร ชื่นชมกุล,กล้าธรรม,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
อุตรดิตถ์,1,อุตรดิตถ์.01,1,นางธนัชชา แสนสุขุม,ประชาชน,2,นายพิชญุตม์ พอจิต,ภูมิใจไทย,3,นางสาวอัญชิสา ศุภรักษ์จินดา,เพื่อไทย,4,นางสาวดวงใจ มงคลแสงสุรีย์,รวมไทยสร้างชาติ,5,นายอาณัติ วงค์สถาน,ประชาธิปัตย์,6,นางสาวปภสร เตชารัตนหิรัญ,กล้าธรรม,7,นายกิตติพัทธ์ แก้วใส,พลังประชารัฐ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
อุตรดิตถ์,2,อุตรดิตถ์.02,1,นายภิศิษฐ์ วงศ์ทอง,ประชาชน,2,นายณัฐวุฒิ บุญมาติด,กล้าธรรม,3,นายประสิทธิ์ คลังสีดา,ประชาธิปัตย์,4,นางสาวรสรินทร์ ศรัณย์เกตุ,โอกาสใหม่,5,นายวารุจ ศิริวัฒน์,เพื่อไทย,6,ร้อยโท ภูวนัย บุญแท่น,ปวงชนไทย,7,นายเอนก ธรรมใจ,รวมไทยสร้างชาติ,8,ร้อยตรี บำรุง พวงมะเดื่อ,ทางเลือกใหม่,9,นายสหวิช อภิชัยวิศรุตกุล,ภูมิใจไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
อุตรดิตถ์,3,อุตรดิตถ์.03,1,นายรวี เล็กอุทัย,เพื่อไทย,2,นางสาวจิรายุ ดวงแก้ว,ประชาชน,3,นางสาวอรกัญญา ดีมาก,ประชาธิปัตย์,4,นายคณิน ถนอมทองพันธ์,กล้าธรรม,5,นางสาวรสสุคนธ์ อินชัยเขา,ภูมิใจไทย,6,นายเขษมศักดิ์ แก้วมา,รวมไทยสร้างชาติ,7,นายพงศ์วินิจ ไพจิตรกุญชร,ทางเลือกใหม่,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
อุทัยธานี,1,อุทัยธานี.01,1,นายธนาคร อุนจะนำ,เพื่อไทย,2,นายเจเศรษฐ์ ไทยเศรษฐ์,ภูมิใจไทย,3,นายเดชา คงคา,ประชาชน,4,นายวิทยา จันทร์สม,ประชาธิปัตย์,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
อุทัยธานี,2,อุทัยธานี.02,1,นายอรรถพล โต๋วสัจจา,เพื่อไทย,2,นายชาดา ไทยเศรษฐ์,ภูมิใจไทย,3,นางสาวสุชาดา บัวพันธ์,ประชาชน,4,เรือตรี ศึกษา ฟุ้งเฟื่อง,ประชาธิปัตย์,5,นางสุพรรณษา นันทา,กล้าธรรม,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
อุบลราชธานี,1,อุบลราชธานี.01,1,นายจเร ไขแสง,ภูมิใจไทย,2,นายวรสิทธิ์ กัลป์ตินันท์,เพื่อไทย,3,นายมีชัย ศรีคูณ,พลังประชารัฐ,4,นายวิศรุต สวัสดิ์วร,ไทยสร้างไทย,5,นายธีระพล เพ็งจันทร์,ประชาชน,6,นายพิษณุ อธิคมศาสตร์,พลวัต,7,นายธนพร สมศรี,ประชาธิปัตย์,8,นายนิมิตร จันทเวทย์ศิริ,เศรษฐกิจ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
